customer_id,annual_income,num_children,num_teenagers,signup_date,days_since_last_purchase,has_recent_complaint,spend_wine,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,num_discount_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,web_visits_last_month,accepted_campaign_1,accepted_campaign_2,accepted_campaign_3,accepted_campaign_4,accepted_campaign_5,accepted_last_campaign,Age,days_since_signup,education_level_Master,education_level_PhD,education_level_Primary,education_level_Secondary,education_level_Unknown,marital_status_Married,marital_status_Partnership,marital_status_Single,marital_status_Widow,cluster_kmeans
5524,58138.0,0,0,2012-09-04,58,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1,68,4825,0,0,0,0,0,0,0,1,0,1
2174,46344.0,1,1,2014-03-08,38,0,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,71,4275,0,0,0,0,0,0,0,1,0,0
4141,71613.0,0,0,2013-08-21,26,0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,60,4474,0,0,0,0,0,0,1,0,0,1
6182,26646.0,1,0,2014-02-10,26,0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,41,4301,0,0,0,0,0,0,1,0,0,0
5324,58293.0,1,0,2014-01-19,94,0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,44,4323,0,1,0,0,0,1,0,0,0,2
7446,62513.0,0,1,2013-09-09,16,0,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,58,4455,1,0,0,0,0,0,1,0,0,2
965,55635.0,0,1,2012-11-13,34,0,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,54,4755,0,0,0,0,0,0,0,0,0,1
6177,33454.0,1,0,2013-05-08,32,0,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,40,4579,0,1,0,0,0,1,0,0,0,0
4855,30351.0,1,0,2013-06-06,19,0,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1,51,4550,0,1,0,0,0,0,1,0,0,0
5899,5648.0,1,1,2014-03-13,68,0,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0,75,4270,0,0,0,0,1,0,1,0,0,0
